#,Name,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,image_url,Vgc2022Rules,MonthlyUsageMarch2022,UsagePercentMarch2022,MonthlyRankMarch2022
11,Metapod,Metapod,,1,Common,Bug,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Permitted,,,
12,Butterfree Gigantamax,Butterfree,Gigantamax,8,,Bug,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/4/47/012GiMS8.png,Gigantamax Allowed,,,
12,Butterfree,Butterfree,,1,Common,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Permitted,16,0,152
13,Weedle,Weedle,,1,Common,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,,,,
14,Kakuna,Kakuna,,1,Common,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,,,,
15,Beedrill,Beedrill,,1,Common,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,,,,
15,Mega Beedrill,Beedrill,Mega,6,Common,Bug,Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Banned,,,
16,Pidgey,Pidgey,,1,Common,Normal,Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,,,,
17,Pidgeotto,Pidgeotto,,1,Common,Normal,Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,,,,
18,Pidgeot,Pidgeot,,1,Common,Normal,Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,,,,
18,Mega Pidgeot,Pidgeot,Mega,6,Common,Normal,Flying,579.0,83.0,80.0,80.0,135.0,80.0,121.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Banned,,,
19,Rattata,Rattata,,1,Common,Normal,,253.0,30.0,56.0,35.0,25.0,35.0,72.0,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,,,,
19,Alolan Rattata,Rattata,Alolan,7,Common,Dark,Normal,253.0,30.0,56.0,35.0,25.0,35.0,72.0,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,,,,
20,Raticate,Raticate,,1,Common,Normal,,413.0,55.0,81.0,60.0,50.0,70.0,97.0,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,,,,
20,Alolan Raticate,Raticate,Alolan,7,Common,Dark,Normal,413.0,75.0,71.0,70.0,40.0,80.0,77.0,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,,,,
21,Spearow,Spearow,,1,Common,Normal,Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,,,,
22,Fearow,Fearow,,1,Common,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,,,,
23,Ekans,Ekans,,1,Common,Poison,,288.0,35.0,60.0,44.0,40.0,54.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,,,,
24,Arbok,Arbok,,1,Common,Poison,,448.0,60.0,95.0,69.0,65.0,79.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,,,,
25,Pikachu Gigantamax,Pikachu,Gigantamax,8,,Electric,,,,,,,,,https://archives.bulbagarden.net/media/upload/b/be/025GiMS8.png,Gigantamax Allowed,,,
25,Pikachu,Pikachu,,1,Common,Electric,,320.0,35.0,55.0,40.0,50.0,50.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Permitted,13,0,119
25,Partner Pikachu,Pikachu,Partner,1,Common,Electric,,430.0,45.0,80.0,50.0,75.0,60.0,120.0,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,,,,
26,Alolan Raichu,Raichu,Alolan,7,Common,Electric,Psychic,485.0,60.0,85.0,50.0,95.0,85.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,,-,-,-
26,Raichu,Raichu,,1,Common,Electric,,485.0,60.0,90.0,55.0,90.0,80.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Permitted,93,3,35
27,Alolan Sandshrew,Sandshrew,Alolan,7,Common,Ice,Steel,300.0,50.0,75.0,90.0,10.0,35.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,,,,
27,Sandshrew,Sandshrew,,1,Common,Ground,,300.0,50.0,75.0,85.0,20.0,30.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Permitted,,,
28,Sandslash,Sandslash,,1,Common,Ground,,450.0,75.0,100.0,110.0,45.0,55.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Permitted,-,-,-
28,Alolan Sandslash,Sandslash,Alolan,7,Common,Ice,Steel,450.0,75.0,100.0,120.0,25.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,,-,-,-
29,Nidoran♀,Nidoran♀,,1,Common,Poison,,275.0,55.0,47.0,52.0,40.0,40.0,41.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,,,,
30,Nidorina,Nidorina,,1,Common,Poison,,365.0,70.0,62.0,67.0,55.0,55.0,56.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Permitted,,,
31,Nidoqueen,Nidoqueen,,1,Common,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Permitted,,,
32,Nidoran♂,Nidoran♂,,1,Common,Poison,,273.0,46.0,57.0,40.0,40.0,40.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,,,,
33,Nidorino,Nidorino,,1,Common,Poison,,365.0,61.0,72.0,57.0,55.0,55.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Permitted,,,
34,Nidoking,Nidoking,,1,Common,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Permitted,,,
35,Clefairy,Clefairy,,1,Common,Fairy,,323.0,70.0,45.0,48.0,60.0,65.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Permitted,25,0,73
36,Clefable,Clefable,,1,Common,Fairy,,483.0,95.0,70.0,73.0,95.0,90.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Permitted,7,0,180
37,Vulpix,Vulpix,,1,Common,Fire,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Permitted,,,
37,Alolan Vulpix,Vulpix,Alolan,7,Common,Ice,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,,,,
38,Ninetales,Ninetales,,1,Common,Fire,,505.0,73.0,76.0,75.0,81.0,100.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Permitted,-,-,-
38,Alolan Ninetales,Ninetales,Alolan,7,Common,Ice,Fairy,505.0,73.0,67.0,75.0,81.0,100.0,109.0,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,,16,0,120
39,Jigglypuff,Jigglypuff,,1,Common,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Permitted,,,
40,Wigglytuff,Wigglytuff,,1,Common,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Permitted,-,-,-
41,Zubat,Zubat,,1,Common,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Permitted,,,
42,Golbat,Golbat,,1,Common,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Permitted,,,
43,Oddish,Oddish,,1,Common,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Permitted,,,
44,Gloom,Gloom,,1,Common,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Permitted,,,
45,Vileplume,Vileplume,,1,Common,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Permitted,-,-,-
46,Paras,Paras,,1,Common,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,,,,
47,Parasect,Parasect,,1,Common,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,,,,
48,Venonat,Venonat,,1,Common,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,,,,
49,Venomoth,Venomoth,,1,Common,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,,,,
50,Alolan Diglett,Diglett,Alolan,7,Common,Ground,Steel,265.0,10.0,55.0,30.0,35.0,45.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,,,,
50,Diglett,Diglett,,1,Common,Ground,,265.0,10.0,55.0,25.0,35.0,45.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Permitted,,,
51,Alolan Dugtrio,Dugtrio,Alolan,7,Common,Ground,Steel,425.0,35.0,100.0,60.0,50.0,70.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,,,,
51,Dugtrio,Dugtrio,,1,Common,Ground,,425.0,35.0,100.0,50.0,50.0,70.0,120.0,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Permitted,3,0,212
52,Meowth,Meowth,,1,Common,Normal,,290.0,40.0,45.0,35.0,40.0,40.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,,,,
52,Alolan Meowth,Meowth,Alolan,7,Common,Dark,,290.0,40.0,35.0,35.0,50.0,40.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,,,,
52,Galarian Meowth,Meowth,Galarian,8,Common,Steel,,290.0,50.0,65.0,55.0,40.0,40.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Permitted,,,
52,Meowth Gigantamax,Meowth,Gigantamax,8,,Normal,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/4c/052GiMS8.png,Gigantamax Allowed,,,
53,Persian,Persian,,1,Common,Normal,,440.0,65.0,70.0,60.0,65.0,65.0,115.0,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Permitted,,,
53,Alolan Persian,Persian,Alolan,7,Common,Dark,,440.0,65.0,60.0,60.0,75.0,65.0,115.0,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,,19,0,96
54,Psyduck,Psyduck,,1,Common,Water,,320.0,50.0,52.0,48.0,65.0,50.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Permitted,,,
55,Golduck,Golduck,,1,Common,Water,,500.0,80.0,82.0,78.0,95.0,80.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Permitted,-,-,-
56,Mankey,Mankey,,1,Common,Fighting,,305.0,40.0,80.0,35.0,35.0,45.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,,,,
57,Primeape,Primeape,,1,Common,Fighting,,455.0,65.0,105.0,60.0,60.0,70.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,,,,
58,Hisuian Growlithe,Growlithe,Hisuian,1,Common,Fire,Rock,350.0,60.0,75.0,45.0,65.0,50.0,55.0,https://img.pokemondb.net/s.png,,,,
58,Growlithe,Growlithe,,1,Common,Fire,,350.0,55.0,70.0,45.0,70.0,50.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Permitted,,,
59,Hisuian Arcanine,Arcanine,Hisuian,1,Common,Fire,Rock,555.0,95.0,115.0,80.0,95.0,80.0,90.0,https://img.pokemondb.net/s.png,,,,
59,Arcanine,Arcanine,,1,Common,Fire,,555.0,90.0,110.0,80.0,100.0,80.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Permitted,23,0,71
60,Poliwag,Poliwag,,1,Common,Water,,300.0,40.0,50.0,40.0,40.0,40.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Permitted,,,
61,Poliwhirl,Poliwhirl,,1,Common,Water,,385.0,65.0,65.0,65.0,50.0,50.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Permitted,,,
62,Poliwrath,Poliwrath,,1,Common,Water,Fighting,510.0,90.0,95.0,95.0,70.0,90.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Permitted,-,-,-
63,Abra,Abra,,1,Common,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Permitted,,,
64,Kadabra,Kadabra,,1,Common,Psychic,,400.0,40.0,35.0,30.0,120.0,70.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Permitted,,,
65,Alakazam,Alakazam,,1,Common,Psychic,,500.0,55.0,50.0,45.0,135.0,95.0,120.0,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Permitted,-,-,-
65,Mega Alakazam,Alakazam,Mega,6,Common,Psychic,,600.0,55.0,50.0,65.0,175.0,105.0,150.0,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Banned,,,
66,Machop,Machop,,1,Common,Fighting,,305.0,70.0,80.0,50.0,35.0,35.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Permitted,,,
67,Machoke,Machoke,,1,Common,Fighting,,405.0,80.0,100.0,70.0,50.0,60.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Permitted,,,
68,Machamp Gigantamax,Machamp,Gigantamax,8,,Fighting,,,,,,,,,https://archives.bulbagarden.net/media/upload/0/03/068GiMS8.png,Gigantamax Allowed,,,
68,Machamp,Machamp,,1,Common,Fighting,,505.0,90.0,130.0,80.0,65.0,85.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Permitted,4,0,204
69,Bellsprout,Bellsprout,,1,Common,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,,,,
70,Weepinbell,Weepinbell,,1,Common,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,,,,
71,Victreebel,Victreebel,,1,Common,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,,,,
72,Tentacool,Tentacool,,1,Common,Water,Poison,335.0,40.0,40.0,35.0,50.0,100.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Permitted,,,
73,Tentacruel,Tentacruel,,1,Common,Water,Poison,515.0,80.0,70.0,65.0,80.0,120.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Permitted,-,-,-
74,Geodude,Geodude,,1,Common,Rock,Ground,300.0,40.0,80.0,100.0,30.0,30.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,,,,
74,Alolan Geodude,Geodude,Alolan,7,Common,Rock,Electric,300.0,40.0,80.0,100.0,30.0,30.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,,,,
75,Graveler,Graveler,,1,Common,Rock,Ground,390.0,55.0,95.0,115.0,45.0,45.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,,,,
75,Alolan Graveler,Graveler,Alolan,7,Common,Rock,Electric,390.0,55.0,95.0,115.0,45.0,45.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,,,,
76,Golem,Golem,,1,Common,Rock,Ground,495.0,80.0,120.0,130.0,55.0,65.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,,,,
76,Alolan Golem,Golem,Alolan,7,Common,Rock,Electric,495.0,80.0,120.0,130.0,55.0,65.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,,,,
77,Ponyta,Ponyta,,1,Common,Fire,,410.0,50.0,85.0,55.0,65.0,65.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Permitted,,,
77,Galarian Ponyta,Ponyta,Galarian,8,Common,Psychic,,410.0,50.0,85.0,55.0,65.0,65.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Permitted,,,
78,Rapidash,Rapidash,,1,Common,Fire,,500.0,65.0,100.0,70.0,80.0,80.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Permitted,,,
78,Galarian Rapidash,Rapidash,Galarian,8,Common,Psychic,Fairy,500.0,65.0,100.0,70.0,80.0,80.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Permitted,,,
79,Galarian Slowpoke,Slowpoke,Galarian,8,Common,Psychic,,315.0,90.0,65.0,65.0,40.0,40.0,15.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Permitted,,,
79,Slowpoke,Slowpoke,,1,Common,Water,Psychic,315.0,90.0,65.0,65.0,40.0,40.0,15.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,,,,
80,Mega Slowbro,Slowbro,Mega,6,Common,Water,Psychic,590.0,95.0,75.0,180.0,130.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Banned,,,
80,Galarian Slowbro,Slowbro,Galarian,8,Common,Poison,Psychic,490.0,95.0,100.0,95.0,100.0,70.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Permitted,-,-,-
80,Slowbro,Slowbro,,1,Common,Water,Psychic,490.0,95.0,75.0,110.0,100.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,,4,0,122
81,Magnemite,Magnemite,,1,Common,Electric,Steel,325.0,25.0,35.0,70.0,95.0,55.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Permitted,,,
82,Magneton,Magneton,,1,Common,Electric,Steel,465.0,50.0,60.0,95.0,120.0,70.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Permitted,-,-,-
83,Farfetch'd,Farfetch'd,,1,Common,Normal,Flying,377.0,52.0,90.0,55.0,58.0,62.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Permitted,,,
83,Galarian Farfetch'd,Farfetch'd,Galarian,8,Common,Fighting,,377.0,52.0,95.0,55.0,58.0,62.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,,,,
84,Doduo,Doduo,,1,Common,Normal,Flying,310.0,35.0,85.0,45.0,35.0,35.0,75.0,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,,,,
85,Dodrio,Dodrio,,1,Common,Normal,Flying,470.0,60.0,110.0,70.0,60.0,60.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,,,,
86,Seel,Seel,,1,Common,Water,,325.0,65.0,45.0,55.0,45.0,70.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,,,,
87,Dewgong,Dewgong,,1,Common,Water,Ice,475.0,90.0,70.0,80.0,70.0,95.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,,,,
88,Grimer,Grimer,,1,Common,Poison,,325.0,80.0,80.0,50.0,40.0,50.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,,,,
88,Alolan Grimer,Grimer,Alolan,7,Common,Poison,Dark,325.0,80.0,80.0,50.0,40.0,50.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,,,,
89,Alolan Muk,Muk,Alolan,7,Common,Poison,Dark,500.0,105.0,105.0,75.0,65.0,100.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,,,,
89,Muk,Muk,,1,Common,Poison,,500.0,105.0,105.0,75.0,65.0,100.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,,,,
90,Shellder,Shellder,,1,Common,Water,,305.0,30.0,65.0,100.0,45.0,25.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,Permitted,,,
91,Cloyster,Cloyster,,1,Common,Water,Ice,525.0,50.0,95.0,180.0,85.0,45.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Permitted,2,0,224
92,Gastly,Gastly,,1,Common,Ghost,Poison,310.0,30.0,35.0,30.0,100.0,35.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,Permitted,,,
93,Haunter,Haunter,,1,Common,Ghost,Poison,405.0,45.0,50.0,45.0,115.0,55.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,Permitted,,,
94,Gengar,Gengar,,1,Common,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Permitted,10,0,214
94,Gengar Gigantamax,Gengar,Gigantamax,8,,Ghost,Poison,,,,,,,,https://archives.bulbagarden.net/media/upload/4/43/094GiMS8.png,Gigantamax Allowed,,,
94,Mega Gengar,Gengar,Mega,6,Common,Ghost,Poison,600.0,60.0,65.0,80.0,170.0,95.0,130.0,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,Banned,,,
95,Onix,Onix,,1,Common,Rock,Ground,385.0,35.0,45.0,160.0,30.0,45.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,Permitted,,,
96,Drowzee,Drowzee,,1,Common,Psychic,,328.0,60.0,48.0,45.0,43.0,90.0,42.0,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,,,,
97,Hypno,Hypno,,1,Common,Psychic,,483.0,85.0,73.0,70.0,73.0,115.0,67.0,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,,,,
98,Krabby,Krabby,,1,Common,Water,,325.0,30.0,105.0,90.0,25.0,25.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,Permitted,,,
99,Kingler Gigantamax,Kingler,Gigantamax,8,,Water,,,,,,,,,https://archives.bulbagarden.net/media/upload/3/33/099GiMS8.png,Gigantamax Allowed,,,
99,Kingler,Kingler,,1,Common,Water,,475.0,55.0,130.0,115.0,50.0,50.0,75.0,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Permitted,9,0,128
100,Hisuian Voltorb,Voltorb,Hisuian,1,Common,Electric,Grass,330.0,40.0,30.0,50.0,55.0,55.0,100.0,https://img.pokemondb.net/s.png,,,,
100,Voltorb,Voltorb,,1,Common,Electric,,330.0,40.0,30.0,50.0,55.0,55.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,,,,
101,Hisuian Electrode,Electrode,Hisuian,1,Common,Electric,Grass,490.0,60.0,50.0,70.0,80.0,80.0,150.0,https://img.pokemondb.net/s.png,,,,
