,NationalPokedexNumber,Name,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Variant,image_url
36,27,Sandshrew,1,Common,Ground,,300,50,75,85,20,30,40,,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
37,27,Sandshrew,1,Common,Ice,Steel,300,50,75,90,10,35,40,Alolan Sandshrew,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
38,28,Sandslash,1,Common,Ground,,450,75,100,110,45,55,65,,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
39,28,Sandslash,1,Common,Ice,Steel,450,75,100,120,25,65,65,Alolan Sandslash,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
40,29,Nidoran♀,1,Common,Poison,,275,55,47,52,40,40,41,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
41,30,Nidorina,1,Common,Poison,,365,70,62,67,55,55,56,,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
42,31,Nidoqueen,1,Common,Poison,Ground,505,90,92,87,75,85,76,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
43,32,Nidoran♂,1,Common,Poison,,273,46,57,40,40,40,50,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
44,33,Nidorino,1,Common,Poison,,365,61,72,57,55,55,65,,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
45,34,Nidoking,1,Common,Poison,Ground,505,81,102,77,85,75,85,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
46,35,Clefairy,1,Common,Fairy,,323,70,45,48,60,65,35,,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
47,36,Clefable,1,Common,Fairy,,483,95,70,73,95,90,60,,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
48,37,Vulpix,1,Common,Fire,,299,38,41,40,50,65,65,,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
49,37,Vulpix,1,Common,Ice,,299,38,41,40,50,65,65,Alolan Vulpix,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
50,38,Ninetales,1,Common,Fire,,505,73,76,75,81,100,100,,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
51,38,Ninetales,1,Common,Ice,Fairy,505,73,67,75,81,100,109,Alolan Ninetales,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
52,39,Jigglypuff,1,Common,Normal,Fairy,270,115,45,20,45,25,20,,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
53,40,Wigglytuff,1,Common,Normal,Fairy,435,140,70,45,85,50,45,,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
54,41,Zubat,1,Common,Poison,Flying,245,40,45,35,30,40,55,,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
55,42,Golbat,1,Common,Poison,Flying,455,75,80,70,65,75,90,,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
56,43,Oddish,1,Common,Grass,Poison,320,45,50,55,75,65,30,,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
57,44,Gloom,1,Common,Grass,Poison,395,60,65,70,85,75,40,,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
58,45,Vileplume,1,Common,Grass,Poison,490,75,80,85,110,90,50,,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
59,46,Paras,1,Common,Bug,Grass,285,35,70,55,45,55,25,,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
60,47,Parasect,1,Common,Bug,Grass,405,60,95,80,60,80,30,,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
61,48,Venonat,1,Common,Bug,Poison,305,60,55,50,40,55,45,,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
62,49,Venomoth,1,Common,Bug,Poison,450,70,65,60,90,75,90,,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
63,50,Diglett,1,Common,Ground,,265,10,55,25,35,45,95,,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
64,50,Diglett,1,Common,Ground,Steel,265,10,55,30,35,45,90,Alolan Diglett,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
65,51,Dugtrio,1,Common,Ground,,425,35,100,50,50,70,120,,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
66,51,Dugtrio,1,Common,Ground,Steel,425,35,100,60,50,70,110,Alolan Dugtrio,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
67,52,Meowth,1,Common,Normal,,290,40,45,35,40,40,90,,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
68,52,Meowth,1,Common,Dark,,290,40,35,35,50,40,90,Alolan Meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
69,52,Meowth,1,Common,Steel,,290,50,65,55,40,40,40,Galarian Meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png
70,53,Persian,1,Common,Normal,,440,65,70,60,65,65,115,,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
71,53,Persian,1,Common,Dark,,440,65,60,60,75,65,115,Alolan Persian,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
72,54,Psyduck,1,Common,Water,,320,50,52,48,65,50,55,,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
73,55,Golduck,1,Common,Water,,500,80,82,78,95,80,85,,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
74,56,Mankey,1,Common,Fighting,,305,40,80,35,35,45,70,,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
75,57,Primeape,1,Common,Fighting,,455,65,105,60,60,70,95,,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
76,58,Growlithe,1,Common,Fire,,350,55,70,45,70,50,60,,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
77,58,Growlithe,1,Common,Fire,Rock,350,60,75,45,65,50,55,Hisuian Growlithe,https://img.pokemondb.net/s.png
78,59,Arcanine,1,Common,Fire,,555,90,110,80,100,80,95,,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
79,59,Arcanine,1,Common,Fire,Rock,555,95,115,80,95,80,90,Hisuian Arcanine,https://img.pokemondb.net/s.png
80,60,Poliwag,1,Common,Water,,300,40,50,40,40,40,90,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
81,61,Poliwhirl,1,Common,Water,,385,65,65,65,50,50,90,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
82,62,Poliwrath,1,Common,Water,Fighting,510,90,95,95,70,90,70,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
83,63,Abra,1,Common,Psychic,,310,25,20,15,105,55,90,,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
84,64,Kadabra,1,Common,Psychic,,400,40,35,30,120,70,105,,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
85,65,Alakazam,1,Common,Psychic,,500,55,50,45,135,95,120,,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
86,65,Alakazam,1,Common,Psychic,,600,55,50,65,175,105,150,Mega Alakazam,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png
87,66,Machop,1,Common,Fighting,,305,70,80,50,35,35,35,,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
88,67,Machoke,1,Common,Fighting,,405,80,100,70,50,60,45,,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
89,68,Machamp,1,Common,Fighting,,505,90,130,80,65,85,55,,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
90,69,Bellsprout,1,Common,Grass,Poison,300,50,75,35,70,30,40,,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
91,70,Weepinbell,1,Common,Grass,Poison,390,65,90,50,85,45,55,,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
92,71,Victreebel,1,Common,Grass,Poison,490,80,105,65,100,70,70,,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
93,72,Tentacool,1,Common,Water,Poison,335,40,40,35,50,100,70,,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
94,73,Tentacruel,1,Common,Water,Poison,515,80,70,65,80,120,100,,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
95,74,Geodude,1,Common,Rock,Ground,300,40,80,100,30,30,20,,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
96,74,Geodude,1,Common,Rock,Electric,300,40,80,100,30,30,20,Alolan Geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
97,75,Graveler,1,Common,Rock,Ground,390,55,95,115,45,45,35,,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
98,75,Graveler,1,Common,Rock,Electric,390,55,95,115,45,45,35,Alolan Graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
99,76,Golem,1,Common,Rock,Ground,495,80,120,130,55,65,45,,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
100,76,Golem,1,Common,Rock,Electric,495,80,120,130,55,65,45,Alolan Golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
101,77,Ponyta,1,Common,Fire,,410,50,85,55,65,65,90,,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
102,77,Ponyta,1,Common,Psychic,,410,50,85,55,65,65,90,Galarian Ponyta,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png
103,78,Rapidash,1,Common,Fire,,500,65,100,70,80,80,105,,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
104,78,Rapidash,1,Common,Psychic,Fairy,500,65,100,70,80,80,105,Galarian Rapidash,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png
105,79,Slowpoke,1,Common,Water,Psychic,315,90,65,65,40,40,15,,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
106,79,Slowpoke,1,Common,Psychic,,315,90,65,65,40,40,15,Galarian Slowpoke,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png
107,80,Slowbro,1,Common,Water,Psychic,490,95,75,110,100,80,30,,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
108,80,Slowbro,1,Common,Water,Psychic,590,95,75,180,130,80,30,Mega Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png
109,80,Slowbro,1,Common,Poison,Psychic,490,95,100,95,100,70,30,Galarian Slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png
110,81,Magnemite,1,Common,Electric,Steel,325,25,35,70,95,55,45,,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
111,82,Magneton,1,Common,Electric,Steel,465,50,60,95,120,70,70,,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
112,83,Farfetch'd,1,Common,Normal,Flying,377,52,90,55,58,62,60,,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
113,83,Farfetch'd,1,Common,Fighting,,377,52,95,55,58,62,55,Galarian Farfetch'd,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png
114,84,Doduo,1,Common,Normal,Flying,310,35,85,45,35,35,75,,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
115,85,Dodrio,1,Common,Normal,Flying,470,60,110,70,60,60,110,,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
116,86,Seel,1,Common,Water,,325,65,45,55,45,70,45,,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
117,87,Dewgong,1,Common,Water,Ice,475,90,70,80,70,95,70,,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
118,88,Grimer,1,Common,Poison,,325,80,80,50,40,50,25,,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
119,88,Grimer,1,Common,Poison,Dark,325,80,80,50,40,50,25,Alolan Grimer,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
120,89,Muk,1,Common,Poison,,500,105,105,75,65,100,50,,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
121,89,Muk,1,Common,Poison,Dark,500,105,105,75,65,100,50,Alolan Muk,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png
122,90,Shellder,1,Common,Water,,305,30,65,100,45,25,40,,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
123,91,Cloyster,1,Common,Water,Ice,525,50,95,180,85,45,70,,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
124,92,Gastly,1,Common,Ghost,Poison,310,30,35,30,100,35,80,,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
125,93,Haunter,1,Common,Ghost,Poison,405,45,50,45,115,55,95,,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
126,94,Gengar,1,Common,Ghost,Poison,500,60,65,60,130,75,110,,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
127,94,Gengar,1,Common,Ghost,Poison,600,60,65,80,170,95,130,Mega Gengar,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png
128,95,Onix,1,Common,Rock,Ground,385,35,45,160,30,45,70,,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
129,96,Drowzee,1,Common,Psychic,,328,60,48,45,43,90,42,,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
130,97,Hypno,1,Common,Psychic,,483,85,73,70,73,115,67,,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
131,98,Krabby,1,Common,Water,,325,30,105,90,25,25,50,,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
132,99,Kingler,1,Common,Water,,475,55,130,115,50,50,75,,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
133,100,Voltorb,1,Common,Electric,,330,40,30,50,55,55,100,,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
134,100,Voltorb,1,Common,Electric,Grass,330,40,30,50,55,55,100,Hisuian Voltorb,https://img.pokemondb.net/s.png
135,101,Electrode,1,Common,Electric,,490,60,50,70,80,80,150,,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
136,101,Electrode,1,Common,Electric,Grass,490,60,50,70,80,80,150,Hisuian Electrode,https://img.pokemondb.net/s.png
137,102,Exeggcute,1,Common,Grass,Psychic,325,60,40,80,60,45,40,,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
138,103,Exeggutor,1,Common,Grass,Psychic,530,95,95,85,125,75,55,,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
139,103,Exeggutor,1,Common,Grass,Dragon,530,95,105,85,125,75,45,Alolan Exeggutor,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png
140,104,Cubone,1,Common,Ground,,320,50,50,95,40,50,35,,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
141,105,Marowak,1,Common,Ground,,425,60,80,110,50,80,45,,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
142,105,Marowak,1,Common,Fire,Ghost,425,60,80,110,50,80,45,Alolan Marowak,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png
143,106,Hitmonlee,1,Common,Fighting,,455,50,120,53,35,110,87,,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
144,107,Hitmonchan,1,Common,Fighting,,455,50,105,79,35,110,76,,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
145,108,Lickitung,1,Common,Normal,,385,90,55,75,60,75,30,,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
146,109,Koffing,1,Common,Poison,,340,40,65,95,60,45,35,,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
147,110,Weezing,1,Common,Poison,,490,65,90,120,85,70,60,,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
148,110,Weezing,1,Common,Poison,Fairy,490,65,90,120,85,70,60,Galarian Weezing,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png
149,111,Rhyhorn,1,Common,Ground,Rock,345,80,85,95,30,30,25,,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
150,112,Rhydon,1,Common,Ground,Rock,485,105,130,120,45,45,40,,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
151,113,Chansey,1,Common,Normal,,450,250,5,5,35,105,50,,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
152,114,Tangela,1,Common,Grass,,435,65,55,115,100,40,60,,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
153,115,Kangaskhan,1,Common,Normal,,490,105,95,80,40,80,90,,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
154,115,Kangaskhan,1,Common,Normal,,590,105,125,100,60,100,100,Mega Kangaskhan,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png
155,116,Horsea,1,Common,Water,,295,30,40,70,70,25,60,,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
156,117,Seadra,1,Common,Water,,440,55,65,95,95,45,85,,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
157,118,Goldeen,1,Common,Water,,320,45,67,60,35,50,63,,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
158,119,Seaking,1,Common,Water,,450,80,92,65,65,80,68,,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
159,120,Staryu,1,Common,Water,,340,30,45,55,70,55,85,,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
160,121,Starmie,1,Common,Water,Psychic,520,60,75,85,100,85,115,,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
161,122,Mr.,1,Common,Psychic,Fairy,460,40,45,65,100,120,90,Mime,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
162,122,Mr.,1,Common,Ice,Psychic,460,50,65,65,90,90,100,Mime Galarian Mr. Mime,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png
163,123,Scyther,1,Common,Bug,Flying,500,70,110,80,55,80,105,,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
164,124,Jynx,1,Common,Ice,Psychic,455,65,50,35,115,95,95,,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
165,125,Electabuzz,1,Common,Electric,,490,65,83,57,95,85,105,,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
166,126,Magmar,1,Common,Fire,,495,65,95,57,100,85,93,,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
167,127,Pinsir,1,Common,Bug,,500,65,125,100,55,70,85,,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
168,127,Pinsir,1,Common,Bug,Flying,600,65,155,120,65,90,105,Mega Pinsir,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png
169,128,Tauros,1,Common,Normal,,490,75,100,95,40,70,110,,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
170,129,Magikarp,1,Common,Water,,200,20,10,55,15,20,80,,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
171,130,Gyarados,1,Common,Water,Flying,540,95,125,79,60,100,81,,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
172,130,Gyarados,1,Common,Water,Dark,640,95,155,109,70,130,81,Mega Gyarados,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png
173,131,Lapras,1,Common,Water,Ice,535,130,85,80,85,95,60,,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
174,132,Ditto,1,Common,Normal,,288,48,48,48,48,48,48,,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
175,133,Eevee,1,Common,Normal,,325,55,55,50,45,65,55,,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
176,133,Eevee,1,Common,Normal,,435,65,75,70,65,85,75,Partner Eevee,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png
177,134,Vaporeon,1,Common,Water,,525,130,65,60,110,95,65,,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
178,135,Jolteon,1,Common,Electric,,525,65,65,60,110,95,130,,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
179,136,Flareon,1,Common,Fire,,525,65,130,60,95,110,65,,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
180,137,Porygon,1,Common,Normal,,395,65,60,70,85,75,40,,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
181,138,Omanyte,1,Common,Rock,Water,355,35,40,100,90,55,35,,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
182,139,Omastar,1,Common,Rock,Water,495,70,60,125,115,70,55,,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
183,140,Kabuto,1,Common,Rock,Water,355,30,80,90,55,45,55,,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
184,141,Kabutops,1,Common,Rock,Water,495,60,115,105,65,70,80,,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
185,142,Aerodactyl,1,Common,Rock,Flying,515,80,105,65,60,75,130,,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
186,142,Aerodactyl,1,Common,Rock,Flying,615,80,135,85,70,95,150,Mega Aerodactyl,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
187,143,Snorlax,1,Common,Normal,,540,160,110,65,65,110,30,,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
188,144,Articuno,1,Legendary,Ice,Flying,580,90,85,100,95,125,85,,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
189,144,Articuno,1,Legendary,Psychic,Flying,580,90,85,85,125,100,95,Galarian Articuno,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png
190,145,Zapdos,1,Legendary,Electric,Flying,580,90,90,85,125,90,100,,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
191,145,Zapdos,1,Legendary,Fighting,Flying,580,90,125,90,85,90,100,Galarian Zapdos,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png
192,146,Moltres,1,Legendary,Fire,Flying,580,90,100,90,125,85,90,,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
193,146,Moltres,1,Legendary,Dark,Flying,580,90,85,90,100,125,90,Galarian Moltres,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png
194,147,Dratini,1,Common,Dragon,,300,41,64,45,50,50,50,,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
