,Nature,HP/Atk/Def/SpA/SpD/Spe,UsePercentage,Pokemon
214,Bold,172/0/212/0/124/0,1.442%,Gastrodon
215,Calm,252/0/196/0/60/0,1.354%,Gastrodon
216,Modest,252/0/60/116/76/4,1.245%,Gastrodon
217,Bold,204/0/220/4/76/4,1.190%,Gastrodon
218,Calm,204/0/204/0/100/0,1.131%,Gastrodon
219,Calm,252/0/0/4/252/0,1.115%,Gastrodon
220,Timid,4/0/0/252/0/252,34.734%,Charizard
221,Timid,0/0/0/252/4/252,22.381%,Charizard
222,Timid,0/0/4/252/0/252,9.913%,Charizard
223,Timid,44/0/44/164/4/252,3.929%,Charizard
224,Timid,44/0/0/212/0/252,3.406%,Charizard
225,Timid,28/0/0/228/0/252,3.183%,Charizard
226,Quiet,252/0/4/252/0/0,2.920%,Charizard
227,Timid,44/0/12/196/4/252,2.555%,Charizard
228,Timid,12/0/44/196/4/252,2.244%,Charizard
229,Timid,36/0/4/212/4/252,1.932%,Charizard
230,Timid,36/0/0/220/0/252,1.477%,Charizard
231,Timid,44/0/4/204/4/252,1.417%,Charizard
232,Timid,4/0/4/244/4/252,1.203%,Charizard
233,Timid,4/0/12/236/4/252,0.983%,Charizard
234,Quiet,4/0/252/252/0/0,0.867%,Charizard
235,Timid,12/0/12/228/4/252,0.781%,Charizard
236,Timid,60/0/20/164/12/252,0.769%,Charizard
237,Timid,44/0/52/156/4/252,0.721%,Charizard
238,Quiet,172/0/84/252/0/0,0.412%,Charizard
239,Timid,0/0/0/252/0/252,0.401%,Charizard
240,Sassy,236/0/116/0/156/0,12.975%,Amoonguss
241,Sassy,252/0/100/0/156/0,6.631%,Amoonguss
242,Relaxed,252/0/156/0/100/0,6.104%,Amoonguss
243,Relaxed,236/0/252/0/20/0,5.527%,Amoonguss
244,Careful,236/0/172/0/100/0,4.212%,Amoonguss
245,Calm,236/0/116/0/156/0,4.080%,Amoonguss
246,Calm,236/0/172/0/100/0,3.842%,Amoonguss
247,Careful,236/0/116/0/156/0,3.313%,Amoonguss
248,Adamant,4/252/0/0/252/0,2.890%,Amoonguss
249,Sassy,252/0/164/0/92/0,2.277%,Amoonguss
250,Sassy,252/0/4/0/252/0,2.202%,Amoonguss
251,Sassy,236/0/172/0/100/0,1.971%,Amoonguss
252,Bold,236/0/156/0/116/0,1.931%,Amoonguss
253,Sassy,236/0/20/0/252/0,1.914%,Amoonguss
254,Sassy,252/0/180/0/76/0,1.767%,Amoonguss
255,Relaxed,236/0/156/0/116/0,1.454%,Amoonguss
256,Sassy,252/0/156/0/100/0,1.416%,Amoonguss
257,Careful,252/0/84/0/172/0,1.382%,Amoonguss
258,Sassy,188/0/188/0/132/0,1.345%,Amoonguss
259,Calm,252/0/20/0/236/0,1.302%,Amoonguss
260,Bold,252/0/252/0/4/0,21.561%,Indeedee Female
261,Relaxed,252/0/252/0/4/0,19.764%,Indeedee Female
262,Timid,0/0/0/252/4/252,9.702%,Indeedee Female
263,Bold,236/0/252/0/20/0,5.599%,Indeedee Female
264,Timid,4/0/0/252/0/252,4.027%,Indeedee Female
265,Bold,252/0/252/4/0/0,2.936%,Indeedee Female
266,Bold,252/0/244/0/12/0,2.629%,Indeedee Female
267,Relaxed,236/0/252/0/20/0,2.589%,Indeedee Female
268,Bold,252/0/236/0/20/0,2.224%,Indeedee Female
269,Timid,0/0/4/252/0/252,1.786%,Indeedee Female
270,Quiet,252/0/4/252/0/0,1.680%,Indeedee Female
271,Bold,244/0/252/0/12/0,1.573%,Indeedee Female
272,Bold,204/0/188/36/76/4,1.391%,Indeedee Female
273,Modest,252/0/4/252/0/0,1.339%,Indeedee Female
274,Bold,244/0/244/0/20/0,1.149%,Indeedee Female
275,Relaxed,252/0/244/0/12/0,1.101%,Indeedee Female
276,Sassy,252/0/4/0/252/0,1.006%,Indeedee Female
277,Relaxed,244/0/244/0/20/0,0.941%,Indeedee Female
278,Relaxed,252/0/252/4/0/0,0.751%,Indeedee Female
279,Bold,236/0/252/0/0/20,0.628%,Indeedee Female
280,Timid,4/0/0/252/0/252,49.006%,Whimsicott
281,Timid,0/0/0/252/4/252,15.275%,Whimsicott
282,Timid,12/0/0/244/0/252,4.665%,Whimsicott
283,Timid,252/0/0/4/0/252,4.120%,Whimsicott
284,Timid,0/0/0/252/0/252,4.015%,Whimsicott
285,Timid,244/0/4/4/4/252,2.470%,Whimsicott
286,Modest,4/0/0/252/0/252,1.895%,Whimsicott
287,Timid,0/0/4/252/0/252,1.625%,Whimsicott
288,Modest,252/0/4/116/116/20,1.568%,Whimsicott
289,Timid,252/0/0/0/4/252,1.434%,Whimsicott
290,Modest,0/0/0/252/4/252,1.267%,Whimsicott
291,Timid,4/0/4/244/4/252,0.953%,Whimsicott
292,Timid,60/0/4/100/92/252,0.791%,Whimsicott
293,Timid,124/0/4/140/20/220,0.730%,Whimsicott
294,Timid,164/0/0/0/92/252,0.651%,Whimsicott
295,Calm,228/0/0/100/180/0,0.624%,Whimsicott
296,Timid,252/0/4/0/0/252,0.614%,Whimsicott
297,Timid,60/0/4/140/52/252,0.591%,Whimsicott
298,Calm,252/0/4/0/252/0,0.547%,Whimsicott
299,Modest,252/0/4/252/0/0,0.522%,Whimsicott
300,Timid,4/0/0/252/0/252,13.167%,Yveltal
301,Modest,172/0/4/68/12/252,6.312%,Yveltal
302,Modest,172/0/20/68/12/236,6.094%,Yveltal
303,Timid,60/0/4/188/4/252,5.721%,Yveltal
304,Timid,0/0/0/252/4/252,5.598%,Yveltal
305,Modest,148/0/44/68/4/244,5.266%,Yveltal
306,Modest,28/0/4/228/4/244,4.404%,Yveltal
307,Timid,236/0/0/20/0/252,3.042%,Yveltal
308,Timid,20/0/28/204/4/252,2.589%,Yveltal
309,Adamant,20/252/0/0/0/236,1.712%,Yveltal
310,Modest,4/0/0/252/0/252,1.672%,Yveltal
311,Modest,36/0/4/204/12/252,1.486%,Yveltal
312,Modest,4/0/12/244/4/244,1.474%,Yveltal
313,Modest,4/0/12/252/4/236,1.321%,Yveltal
314,Jolly,172/0/68/12/4/252,1.147%,Yveltal
315,Timid,4/0/4/252/4/244,1.066%,Yveltal
316,Timid,124/0/116/20/4/244,1.029%,Yveltal
317,Mild,252/4/0/252/0/0,0.937%,Yveltal
318,Modest,44/0/196/4/12/252,0.921%,Yveltal
319,Modest,188/0/0/84/0/236,0.900%,Yveltal
320,Brave,252/252/0/0/4/0,22.715%,Calyrex Ice Rider
321,Adamant,252/252/0/0/4/0,11.137%,Calyrex Ice Rider
322,Impish,252/4/156/0/84/12,8.734%,Calyrex Ice Rider
323,Impish,252/4/156/0/76/20,5.513%,Calyrex Ice Rider
324,Brave,252/252/4/0/0/0,5.007%,Calyrex Ice Rider
325,Jolly,4/252/0/0/0/252,2.904%,Calyrex Ice Rider
326,Adamant,252/252/4/0/0/0,2.697%,Calyrex Ice Rider
327,Jolly,0/252/4/0/0/252,2.590%,Calyrex Ice Rider
328,Adamant,252/220/4/0/12/20,2.230%,Calyrex Ice Rider
329,Brave,252/196/0/0/60/0,2.148%,Calyrex Ice Rider
330,Adamant,252/124/4/0/108/20,1.558%,Calyrex Ice Rider
331,Adamant,92/252/0/0/0/164,1.490%,Calyrex Ice Rider
332,Brave,252/116/0/0/140/0,1.433%,Calyrex Ice Rider
333,Brave,252/252/0/0/0/0,1.411%,Calyrex Ice Rider
334,Adamant,252/84/0/0/172/0,1.400%,Calyrex Ice Rider
335,Adamant,252/196/0/0/60/0,1.381%,Calyrex Ice Rider
336,Adamant,252/116/4/0/132/4,1.159%,Calyrex Ice Rider
337,Adamant,252/236/4/0/12/4,0.931%,Calyrex Ice Rider
338,Brave,252/244/0/0/12/0,0.922%,Calyrex Ice Rider
339,Brave,252/132/0/0/124/0,0.904%,Calyrex Ice Rider
340,Modest,252/0/0/252/4/0,9.655%,Palkia
341,Modest,28/0/52/236/4/188,8.438%,Palkia
342,Modest,244/0/164/0/100/0,5.697%,Palkia
343,Modest,252/0/44/76/28/108,5.516%,Palkia
344,Modest,252/0/4/252/0/0,4.183%,Palkia
345,Modest,4/0/0/252/0/252,3.650%,Palkia
346,Modest,12/0/4/236/4/252,3.338%,Palkia
347,Modest,252/0/4/236/4/12,2.944%,Palkia
348,Modest,236/0/140/84/4/44,2.325%,Palkia
349,Quiet,252/0/0/252/4/0,2.217%,Palkia
350,Quiet,252/0/4/252/0/0,2.211%,Palkia
351,Modest,204/0/20/252/4/28,2.182%,Palkia
352,Timid,0/0/0/252/4/252,2.107%,Palkia
353,Modest,188/0/156/156/4/4,2.070%,Palkia
354,Modest,244/0/148/12/100/4,1.848%,Palkia
355,Modest,12/0/4/252/4/236,1.605%,Palkia
356,Modest,188/0/164/156/0/0,1.426%,Palkia
357,Modest,204/0/52/236/12/4,1.298%,Palkia
358,Timid,4/0/0/252/0/252,1.260%,Palkia
359,Modest,252/0/0/212/44/0,1.253%,Palkia
360,Modest,244/0/12/252/0/0,14.422%,Porygon2
361,Sassy,244/0/124/0/140/0,7.870%,Porygon2
362,Sassy,252/0/4/0/252/0,6.281%,Porygon2
363,Modest,244/0/0/252/12/0,6.028%,Porygon2
364,Calm,244/0/140/0/124/0,4.954%,Porygon2
365,Modest,252/0/108/36/84/28,4.748%,Porygon2
366,Sassy,252/0/124/0/132/0,2.782%,Porygon2
367,Modest,244/0/0/252/0/12,2.363%,Porygon2
368,Sassy,244/0/140/0/124/0,2.272%,Porygon2
369,Sassy,252/0/0/4/252/0,1.860%,Porygon2
370,Calm,252/0/220/0/36/0,1.686%,Porygon2
371,Calm,244/0/156/0/108/0,1.583%,Porygon2
372,Bold,244/0/156/0/108/0,1.499%,Porygon2
373,Sassy,252/0/172/0/76/0,1.494%,Porygon2
374,Sassy,244/0/164/0/100/0,1.433%,Porygon2
375,Modest,244/0/4/116/44/100,1.312%,Porygon2
376,Modest,244/0/4/124/44/92,1.193%,Porygon2
377,Modest,244/0/44/4/212/4,1.156%,Porygon2
378,Bold,244/0/148/0/116/0,1.132%,Porygon2
379,Serious,252/0/100/0/156/0,1.075%,Porygon2
380,Timid,4/0/0/252/0/252,56.982%,Tornadus Incarnate Forme
381,Timid,0/0/0/252/4/252,22.040%,Tornadus Incarnate Forme
382,Modest,4/0/0/252/0/252,1.864%,Tornadus Incarnate Forme
383,Timid,36/0/0/220/0/252,1.542%,Tornadus Incarnate Forme
384,Timid,4/0/4/244/4/252,1.409%,Tornadus Incarnate Forme
385,Timid,0/0/0/252/0/252,1.311%,Tornadus Incarnate Forme
386,Bold,252/0/156/36/60/4,1.174%,Tornadus Incarnate Forme
387,Timid,60/0/60/132/12/244,1.116%,Tornadus Incarnate Forme
388,Timid,252/0/0/4/0/252,0.978%,Tornadus Incarnate Forme
389,Timid,244/0/4/4/4/252,0.964%,Tornadus Incarnate Forme
390,Timid,252/0/4/0/0/252,0.684%,Tornadus Incarnate Forme
391,Timid,172/0/28/4/52/252,0.574%,Tornadus Incarnate Forme
392,Timid,0/0/0/0/0/252,0.532%,Tornadus Incarnate Forme
393,Calm,252/0/0/4/252/0,0.514%,Tornadus Incarnate Forme
394,Timid,0/0/4/252/0/252,0.472%,Tornadus Incarnate Forme
395,Timid,66/0/0/186/4/252,0.421%,Tornadus Incarnate Forme
396,Hasty,0/0/0/252/0/252,0.372%,Tornadus Incarnate Forme
397,Timid,252/0/0/0/4/252,0.361%,Tornadus Incarnate Forme
398,Modest,0/0/124/252/132/0,0.356%,Tornadus Incarnate Forme
399,Timid,4/0/52/196/4/252,0.314%,Tornadus Incarnate Forme
400,Timid,0/0/0/252/4/252,25.780%,Zapdos
401,Timid,4/0/0/252/0/252,15.393%,Zapdos
402,Timid,28/0/4/220/4/252,14.188%,Zapdos
403,Timid,28/0/0/228/0/252,4.740%,Zapdos
404,Timid,4/0/4/244/4/252,4.386%,Zapdos
405,Timid,4/0/4/180/68/252,3.166%,Zapdos
406,Calm,252/0/4/4/236/12,3.065%,Zapdos
407,Timid,20/0/4/188/44/252,2.382%,Zapdos
408,Modest,28/0/28/196/4/252,2.178%,Zapdos
409,Modest,172/0/12/116/4/204,1.999%,Zapdos
410,Modest,156/0/4/116/4/228,1.972%,Zapdos
411,Timid,204/0/0/52/0/252,1.428%,Zapdos
412,Timid,204/0/44/4/4/252,1.153%,Zapdos
413,Timid,204/0/4/44/4/252,1.121%,Zapdos
414,Timid,52/0/4/196/4/252,0.940%,Zapdos
415,Modest,100/0/4/196/4/204,0.875%,Zapdos
416,Timid,172/0/4/76/4/252,0.792%,Zapdos
417,Modest,76/0/4/196/4/228,0.706%,Zapdos
418,Modest,252/0/28/196/4/28,0.691%,Zapdos
419,Timid,0/0/12/244/0/252,0.643%,Zapdos
420,Jolly,4/4/4/0/244/252,32.284%,Kartana
421,Jolly,0/252/0/0/4/252,14.378%,Kartana
422,Jolly,84/4/4/0/164/252,10.253%,Kartana
423,Jolly,4/252/0/0/0/252,4.702%,Kartana
424,Jolly,4/0/0/0/252/252,3.690%,Kartana
425,Jolly,84/4/4/0/252/164,2.650%,Kartana
426,Jolly,44/28/4/0/244/188,2.261%,Kartana
427,Brave,252/252/0/0/4/0,2.076%,Kartana
428,Jolly,12/60/4/0/180/252,1.885%,Kartana
429,Jolly,12/0/0/0/244/252,1.847%,Kartana
430,Jolly,4/116/4/0/132/252,1.377%,Kartana
431,Jolly,0/0/0/252/4/252,1.256%,Kartana
432,Jolly,60/4/4/0/252/188,1.185%,Kartana
433,Careful,172/0/0/0/252/84,1.176%,Kartana
434,Jolly,84/4/4/0/228/188,1.166%,Kartana
435,Jolly,44/4/4/0/252/204,1.060%,Kartana
436,Jolly,0/4/0/0/252/252,0.854%,Kartana
437,Jolly,76/4/4/0/172/252,0.744%,Kartana
438,Adamant,0/252/0/0/180/76,0.700%,Kartana
439,Jolly,20/236/0/0/0/252,0.685%,Kartana
440,Modest,244/0/0/244/20/0,18.696%,Blastoise
441,Modest,252/0/4/252/0/0,13.331%,Blastoise
